综合,#genre#
CCTV6电影,https://iptv807.com/?act=play&tid=ys&id=7
CCTV7国防军事,https://iptv807.com/?act=play&tid=ys&id=8
CCTV8电视剧,https://iptv807.com/?act=play&tid=ys&id=9
CCTV9纪录,https://iptv807.com/?act=play&tid=ys&id=10
CCTV10科教,https://iptv807.com/?act=play&tid=ys&id=11
CCTV11戏曲,https://iptv807.com/?act=play&tid=ys&id=12
CCTV12社会与法,https://iptv807.com/?act=play&tid=ys&id=13
CCTV13新闻,https://iptv807.com/?act=play&tid=ys&id=14
CCTV14少儿,https://iptv807.com/?act=play&tid=ys&id=15
CCTV15音乐,https://iptv807.com/?act=play&tid=ys&id=16
CCTV16奥林匹克,https://iptv807.com/?act=play&tid=ys&id=17
CCTV17农业农村,https://iptv807.com/?act=play&tid=ys&id=18
CCTV4k高清,https://iptv807.com/?act=play&tid=ys&id=19
CCTV8k高清,https://iptv807.com/?act=play&tid=ys&id=20
CCTV4欧洲HD,https://iptv807.com/?act=play&tid=ys&id=21
CCTV4美洲HD,https://iptv807.com/?act=play&tid=ys&id=22
CGTN,https://iptv807.com/?act=play&tid=ys&id=23
CGTN纪录,https://iptv807.com/?act=play&tid=ys&id=24
CCTV阿拉伯语,https://iptv807.com/?act=play&tid=ys&id=25
CCTV法语,https://iptv807.com/?act=play&tid=ys&id=26
CCTV西班牙语,https://iptv807.com/?act=play&tid=ys&id=27
CCTV俄语,https://iptv807.com/?act=play&tid=ys&id=28
CETV-1,https://iptv807.com/?act=play&tid=ys&id=29
CETV-2,https://iptv807.com/?act=play&tid=ys&id=30
CETV-3,https://iptv807.com/?act=play&tid=ys&id=31
CETV-4,https://iptv807.com/?act=play&tid=ys&id=32
CCTV兵器科技,https://iptv807.com/?act=play&tid=ys&id=33
CCTV怀旧剧场,https://iptv807.com/?act=play&tid=ys&id=34
CCTV第一剧场,https://iptv807.com/?act=play&tid=ys&id=35
CCTV风云剧场,https://iptv807.com/?act=play&tid=ys&id=36
CCTV风云音乐,https://iptv807.com/?act=play&tid=ys&id=37
CCTV风云足球,https://iptv807.com/?act=play&tid=ys&id=38
CCTV世界地理,https://iptv807.com/?act=play&tid=ys&id=39
CCTV文化精品,https://iptv807.com/?act=play&tid=ys&id=40
CCTV央视台球,https://iptv807.com/?act=play&tid=ys&id=41
CCTV高尔夫网球,https://iptv807.com/?act=play&tid=ys&id=42
CCTV女性时尚,https://iptv807.com/?act=play&tid=ys&id=43
卫视,#genre#
parse=1
湖南卫视,https://iptv807.com/?act=play&tid=ws&id=1
江苏卫视,https://iptv807.com/?act=play&tid=ws&id=2
浙江卫视,https://iptv807.com/?act=play&tid=ws&id=3
东方卫视,https://iptv807.com/?act=play&tid=ws&id=4
北京卫视,https://iptv807.com/?act=play&tid=ws&id=5
深圳卫视,https://iptv807.com/?act=play&tid=ws&id=6
广东卫视,https://iptv807.com/?act=play&tid=ws&id=7
安徽卫视,https://iptv807.com/?act=play&tid=ws&id=8
东南卫视,https://iptv807.com/?act=play&tid=ws&id=9
河北卫视,https://iptv807.com/?act=play&tid=ws&id=10
黑龙江卫视,https://iptv807.com/?act=play&tid=ws&id=11
湖北卫视,https://iptv807.com/?act=play&tid=ws&id=12
江西卫视,https://iptv807.com/?act=play&tid=ws&id=13
辽宁卫视,https://iptv807.com/?act=play&tid=ws&id=14
海南卫视,https://iptv807.com/?act=play&tid=ws&id=15
山东卫视,https://iptv807.com/?act=play&tid=ws&id=16
四川卫视,https://iptv807.com/?act=play&tid=ws&id=17
天津卫视,https://iptv807.com/?act=play&tid=ws&id=18
重庆卫视,https://iptv807.com/?act=play&tid=ws&id=19
贵州卫视,https://iptv807.com/?act=play&tid=ws&id=20
吉林卫视,https://iptv807.com/?act=play&tid=ws&id=21
广西卫视,https://iptv807.com/?act=play&tid=ws&id=22
河南卫视,https://iptv807.com/?act=play&tid=ws&id=23
甘肃卫视,https://iptv807.com/?act=play&tid=ws&id=24
