=来龙去脉=,#genre#
01罗朗,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/45b0a3cbcb174a2688eb0057ea9a6974/4000.m3u8
02刘禾森,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/259cad7633d2463484745d76eb1060d5/4000.m3u8
03陈建太郎,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/2165719506544bc7a5fbd1099b637e02/4000.m3u8
04陈汉宗,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/24251f8188b843c495d472a985f803f0/4000.m3u8

=辣椒的征途=,#genre#
01红色征途的起点,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/a2daba5c6f0f4e5f93445d1f5d98b5c8/4000.m3u8
02谁是辣中霸主,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/0da38edb9f13462f9998b0eab27536d3/4000.m3u8
03北粉南酱 辣不一样,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/03511434cfe846238d0bbad2a255d195/4000.m3u8
04吃辣的小概率事件,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/7569375dd35c4e95afdddc660766a176/4000.m3u8
05在辣椒的田野上,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/e15b16bf0c1c4bf99754bb83a6eaa494/4000.m3u8
06超级城市的逐辣之欢,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/8b60e9d5d77c45448aa2a9e07b603c24/4000.m3u8

=宝剑沧桑录=,#genre#
01剑出荆楚,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/c75540530719464691136955b111ccdc/4000.m3u8
02勾践之谜,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/84e3390ebdc146fa9c7ff7a3ceff9c2a/4000.m3u8
03往事春秋,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/01336ae2d864472cb0fe7434a66cc013/4000.m3u8

=遇鉴文明=,#genre#
01人间胜景 中国园林与西方园林,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/6fa79cdf60544ed888486c018c4c6e0d/4000.m3u8
02匠心天工 中国家具与西方家具,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/9b8f43776b824bf5b2e4cab35be7d33a/4000.m3u8
03写意绘真 国画与油画,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/2413b566f60443c6af5fa1c49a58eec4/4000.m3u8
04华彩服章 中国服饰与西方服饰,https://hls.cntv.myhwcdn.cn/asp/hls/4000/0303000a/3/default/eee96c6dd6dd4a41b421f26ef2175b89/4000.m3u8
